home_team,away_team,date,time,location,match_type
SEA,CLT,02/22/2025,7:30 PM,Lumen Field,MLS
SEA,ANT,02/26/2025,7:30 PM,Lumen Field,CONCACAF
SEA,LAF,03/08/2025,1:30 PM,Lumen Field,MLS
SEA,HOU,03/22/2025,7:30 PM,Lumen Field,MLS
SEA,NSH,04/19/2025,4:30 PM,Lumen Field,MLS
SEA,STL,05/03/2025,7:30 PM,Lumen Field,MLS
SEA,DAL,05/24/2025,12:00 PM,Lumen Field,MLS
SEA,SD,05/28/2025,5:30 PM,Lumen Field,MLS
SEA,MIN,06/01/2025,3:00 PM,Lumen Field,MLS
SEA,ATX,06/28/2025,7:30 PM,Lumen Field,MLS
SEA,CLB,07/06/2025,2:00 PM,Lumen Field,MLS
SEA,COL,07/16/2025,6:30 PM,Lumen Field,MLS
SEA,SJ,07/19/2025,5:30 PM,Lumen Field,MLS
SEA,SKC,08/24/2025,6:00 PM,Lumen Field,MLS
SEA,RSL,08/30/2025,7:30 PM,Lumen Field,MLS
SEA,LA,09/13/2025,5:30 PM,Lumen Field,MLS
SEA,VAN,09/27/2025,7:30 PM,Lumen Field,MLS
SEA,POR,10/04/2025,7:30 PM,Lumen Field,MLS